example_id,input_kwargs,output_table_name,output_table_summary,metadata_span_kind,metadata_annotations,input_texts,input_show_progress
RGF0YXNldEV4YW1wbGU6MTE=,"{'table_str': 'TrackId,Name,AlbumId,MediaTypeId,GenreId,Composer,Milliseconds,Bytes,UnitPrice\r\n1,For Those About To Rock (We Salute You),1,1,1,""Angus Young, Malcolm Young, Brian Johnson"",343719,11170334,0.99\r\n2,Balls to the Wall,2,2,1,,342562,5510424,0.99\r\n3,Fast As a Shark,3,2,1,""F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman"",230619,3990994,0.99\r\n4,Restless and Wild,3,2,1,""F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman"",252051,4331779,0.99\r\n5,Princess of the Dawn,3,2,1,Deaffy & R.A. Smith-Diesel,375418,6290521,0.99\r\n6,Put The Finger On You,1,1,1,""Angus Young, Malcolm Young, Brian Johnson"",205662,6713451,0.99\r\n7,Let\'s Get It Up,1,1,1,""Angus Young, Malcolm Young, Brian Johnson"",233926,7636561,0.99\r\n8,Inject The Venom,1,1,1,""Angus Young, Malcolm Young, Brian Johnson"",210834,6852860,0.99\r\n9,Snowballed,1,1,1,""Angus Young, Malcolm Young, Brian Johnson"",203102,6599424,0.99\r\n10,Evil Walks,1,1,1,""Angus Young, Malcolm Young, Brian Johnson"",263497,8611245,0.99\r\n', 'exclude_table_name_list': ""['Album', 'Artist', 'Customer', 'Employee', 'Genre', 'Invoice', 'InvoiceLine', 'MediaType', 'Playlist', 'PlaylistTrack', 'Track']""}",Track,"Information regarding a structured table. Table contains tracks with titles, album IDs, media types, genres, and composers.",CHAIN,{},,
RGF0YXNldEV4YW1wbGU6MTI=,,,,EMBEDDING,{},,
RGF0YXNldEV4YW1wbGU6MTM=,,,,EMBEDDING,{},,
RGF0YXNldEV4YW1wbGU6MTQ=,,,,EMBEDDING,{},"['CustomerId=1 | FirstName=Luís | LastName=Gonçalves | Company=Embraer - Empresa Brasileira de Aeronáutica S.A. | Address=Av. Brigadeiro Faria Lima, 2170 | City=São José dos Campos | State=SP | Country=Brazil | PostalCode=12227-000 | Phone=+55 (12) 3923-5555 | Fax=+55 (12) 3923-5566 | Email=luisg@embraer.com.br | SupportRepId=3', 'CustomerId=2 | FirstName=Leonie | LastName=Köhler | Company=None | Address=Theodor-Heuss-Straße 34 | City=Stuttgart | State=None | Country=Germany | PostalCode=70174 | Phone=+49 0711 2842222 | Fax=None | Email=leonekohler@surfeu.de | SupportRepId=5', 'CustomerId=3 | FirstName=François | LastName=Tremblay | Company=None | Address=1498 rue Bélanger | City=Montréal | State=QC | Country=Canada | PostalCode=H2G 1A7 | Phone=+1 (514) 721-4711 | Fax=None | Email=ftremblay@gmail.com | SupportRepId=3', 'CustomerId=4 | FirstName=Bjørn | LastName=Hansen | Company=None | Address=Ullevålsveien 14 | City=Oslo | State=None | Country=Norway | PostalCode=0171 | Phone=+47 22 44 22 22 | Fax=None | Email=bjorn.hansen@yahoo.no | SupportRepId=4', 'CustomerId=5 | FirstName=František | LastName=Wichterlová | Company=JetBrains s.r.o. | Address=Klanova 9/506 | City=Prague | State=None | Country=Czech Republic | PostalCode=14700 | Phone=+420 2 4172 5555 | Fax=+420 2 4172 5555 | Email=frantisekw@jetbrains.com | SupportRepId=4', 'CustomerId=6 | FirstName=Helena | LastName=Holý | Company=None | Address=Rilská 3174/6 | City=Prague | State=None | Country=Czech Republic | PostalCode=14300 | Phone=+420 2 4177 0449 | Fax=None | Email=hholy@gmail.com | SupportRepId=5', 'CustomerId=7 | FirstName=Astrid | LastName=Gruber | Company=None | Address=Rotenturmstraße 4, 1010 Innere Stadt | City=Vienne | State=None | Country=Austria | PostalCode=1010 | Phone=+43 01 5134505 | Fax=None | Email=astrid.gruber@apple.at | SupportRepId=5', 'CustomerId=8 | FirstName=Daan | LastName=Peeters | Company=None | Address=Grétrystraat 63 | City=Brussels | State=None | Country=Belgium | PostalCode=1000 | Phone=+32 02 219 03 03 | Fax=None | Email=daan_peeters@apple.be | SupportRepId=4', 'CustomerId=9 | FirstName=Kara | LastName=Nielsen | Company=None | Address=Sønder Boulevard 51 | City=Copenhagen | State=None | Country=Denmark | PostalCode=1720 | Phone=+453 3331 9991 | Fax=None | Email=kara.nielsen@jubii.dk | SupportRepId=4', 'CustomerId=10 | FirstName=Eduardo | LastName=Martins | Company=Woodstock Discos | Address=Rua Dr. Falcão Filho, 155 | City=São Paulo | State=SP | Country=Brazil | PostalCode=01007-010 | Phone=+55 (11) 3033-5446 | Fax=+55 (11) 3033-4564 | Email=eduardo@woodstock.com.br | SupportRepId=4', 'CustomerId=11 | FirstName=Alexandre | LastName=Rocha | Company=Banco do Brasil S.A. | Address=Av. Paulista, 2022 | City=São Paulo | State=SP | Country=Brazil | PostalCode=01310-200 | Phone=+55 (11) 3055-3278 | Fax=+55 (11) 3055-8131 | Email=alero@uol.com.br | SupportRepId=5', 'CustomerId=12 | FirstName=Roberto | LastName=Almeida | Company=Riotur | Address=Praça Pio X, 119 | City=Rio de Janeiro | State=RJ | Country=Brazil | PostalCode=20040-020 | Phone=+55 (21) 2271-7000 | Fax=+55 (21) 2271-7070 | Email=roberto.almeida@riotur.gov.br | SupportRepId=3', 'CustomerId=13 | FirstName=Fernanda | LastName=Ramos | Company=None | Address=Qe 7 Bloco G | City=Brasília | State=DF | Country=Brazil | PostalCode=71020-677 | Phone=+55 (61) 3363-5547 | Fax=+55 (61) 3363-7855 | Email=fernadaramos4@uol.com.br | SupportRepId=4', 'CustomerId=14 | FirstName=Mark | LastName=Philips | Company=Telus | Address=8210 111 ST NW | City=Edmonton | State=AB | Country=Canada | PostalCode=T6G 2C7 | Phone=+1 (780) 434-4554 | Fax=+1 (780) 434-5565 | Email=mphilips12@shaw.ca | SupportRepId=5', 'CustomerId=15 | FirstName=Jennifer | LastName=Peterson | Company=Rogers Canada | Address=700 W Pender Street | City=Vancouver | State=BC | Country=Canada | PostalCode=V6C 1G8 | Phone=+1 (604) 688-2255 | Fax=+1 (604) 688-8756 | Email=jenniferp@rogers.ca | SupportRepId=3', 'CustomerId=16 | FirstName=Frank | LastName=Harris | Company=Google Inc. | Address=1600 Amphitheatre Parkway | City=Mountain View | State=CA | Country=USA | PostalCode=94043-1351 | Phone=+1 (650) 253-0000 | Fax=+1 (650) 253-0000 | Email=fharris@google.com | SupportRepId=4', 'CustomerId=17 | FirstName=Jack | LastName=Smith | Company=Microsoft Corporation | Address=1 Microsoft Way | City=Redmond | State=WA | Country=USA | PostalCode=98052-8300 | Phone=+1 (425) 882-8080 | Fax=+1 (425) 882-8081 | Email=jacksmith@microsoft.com | SupportRepId=5', 'CustomerId=18 | FirstName=Michelle | LastName=Brooks | Company=None | Address=627 Broadway | City=New York | State=NY | Country=USA | PostalCode=10012-2612 | Phone=+1 (212) 221-3546 | Fax=+1 (212) 221-4679 | Email=michelleb@aol.com | SupportRepId=3', 'CustomerId=19 | FirstName=Tim | LastName=Goyer | Company=Apple Inc. | Address=1 Infinite Loop | City=Cupertino | State=CA | Country=USA | PostalCode=95014 | Phone=+1 (408) 996-1010 | Fax=+1 (408) 996-1011 | Email=tgoyer@apple.com | SupportRepId=3', 'CustomerId=20 | FirstName=Dan | LastName=Miller | Company=None | Address=541 Del Medio Avenue | City=Mountain View | State=CA | Country=USA | PostalCode=94040-111 | Phone=+1 (650) 644-3358 | Fax=None | Email=dmiller@comcast.com | SupportRepId=4', 'CustomerId=21 | FirstName=Kathy | LastName=Chase | Company=None | Address=801 W 4th Street | City=Reno | State=NV | Country=USA | PostalCode=89503 | Phone=+1 (775) 223-7665 | Fax=None | Email=kachase@hotmail.com | SupportRepId=5', 'CustomerId=22 | FirstName=Heather | LastName=Leacock | Company=None | Address=120 S Orange Ave | City=Orlando | State=FL | Country=USA | PostalCode=32801 | Phone=+1 (407) 999-7788 | Fax=None | Email=hleacock@gmail.com | SupportRepId=4', 'CustomerId=23 | FirstName=John | LastName=Gordon | Company=None | Address=69 Salem Street | City=Boston | State=MA | Country=USA | PostalCode=2113 | Phone=+1 (617) 522-1333 | Fax=None | Email=johngordon22@yahoo.com | SupportRepId=4', 'CustomerId=24 | FirstName=Frank | LastName=Ralston | Company=None | Address=162 E Superior Street | City=Chicago | State=IL | Country=USA | PostalCode=60611 | Phone=+1 (312) 332-3232 | Fax=None | Email=fralston@gmail.com | SupportRepId=3', 'CustomerId=25 | FirstName=Victor | LastName=Stevens | Company=None | Address=319 N. Frances Street | City=Madison | State=WI | Country=USA | PostalCode=53703 | Phone=+1 (608) 257-0597 | Fax=None | Email=vstevens@yahoo.com | SupportRepId=5', 'CustomerId=26 | FirstName=Richard | LastName=Cunningham | Company=None | Address=2211 W Berry Street | City=Fort Worth | State=TX | Country=USA | PostalCode=76110 | Phone=+1 (817) 924-7272 | Fax=None | Email=ricunningham@hotmail.com | SupportRepId=4', 'CustomerId=27 | FirstName=Patrick | LastName=Gray | Company=None | Address=1033 N Park Ave | City=Tucson | State=AZ | Country=USA | PostalCode=85719 | Phone=+1 (520) 622-4200 | Fax=None | Email=patrick.gray@aol.com | SupportRepId=4', 'CustomerId=28 | FirstName=Julia | LastName=Barnett | Company=None | Address=302 S 700 E | City=Salt Lake City | State=UT | Country=USA | PostalCode=84102 | Phone=+1 (801) 531-7272 | Fax=None | Email=jubarnett@gmail.com | SupportRepId=5', 'CustomerId=29 | FirstName=Robert | LastName=Brown | Company=None | Address=796 Dundas Street West | City=Toronto | State=ON | Country=Canada | PostalCode=M6J 1V1 | Phone=+1 (416) 363-8888 | Fax=None | Email=robbrown@shaw.ca | SupportRepId=3', 'CustomerId=30 | FirstName=Edward | LastName=Francis | Company=None | Address=230 Elgin Street | City=Ottawa | State=ON | Country=Canada | PostalCode=K2P 1L7 | Phone=+1 (613) 234-3322 | Fax=None | Email=edfrancis@yachoo.ca | SupportRepId=3', 'CustomerId=31 | FirstName=Martha | LastName=Silk | Company=None | Address=194A Chain Lake Drive | City=Halifax | State=NS | Country=Canada | PostalCode=B3S 1C5 | Phone=+1 (902) 450-0450 | Fax=None | Email=marthasilk@gmail.com | SupportRepId=5', 'CustomerId=32 | FirstName=Aaron | LastName=Mitchell | Company=None | Address=696 Osborne Street | City=Winnipeg | State=MB | Country=Canada | PostalCode=R3L 2B9 | Phone=+1 (204) 452-6452 | Fax=None | Email=aaronmitchell@yahoo.ca | SupportRepId=4', 'CustomerId=33 | FirstName=Ellie | LastName=Sullivan | Company=None | Address=5112 48 Street | City=Yellowknife | State=NT | Country=Canada | PostalCode=X1A 1N6 | Phone=+1 (867) 920-2233 | Fax=None | Email=ellie.sullivan@shaw.ca | SupportRepId=3', 'CustomerId=34 | FirstName=João | LastName=Fernandes | Company=None | Address=Rua da Assunção 53 | City=Lisbon | State=None | Country=Portugal | PostalCode=None | Phone=+351 (213) 466-111 | Fax=None | Email=jfernandes@yahoo.pt | SupportRepId=4', 'CustomerId=35 | FirstName=Madalena | LastName=Sampaio | Company=None | Address=Rua dos Campeões Europeus de Viena, 4350 | City=Porto | State=None | Country=Portugal | PostalCode=None | Phone=+351 (225) 022-448 | Fax=None | Email=masampaio@sapo.pt | SupportRepId=4', 'CustomerId=36 | FirstName=Hannah | LastName=Schneider | Company=None | Address=Tauentzienstraße 8 | City=Berlin | State=None | Country=Germany | PostalCode=10789 | Phone=+49 030 26550280 | Fax=None | Email=hannah.schneider@yahoo.de | SupportRepId=5', 'CustomerId=37 | FirstName=Fynn | LastName=Zimmermann | Company=None | Address=Berger Straße 10 | City=Frankfurt | State=None | Country=Germany | PostalCode=60316 | Phone=+49 069 40598889 | Fax=None | Email=fzimmermann@yahoo.de | SupportRepId=3', 'CustomerId=38 | FirstName=Niklas | LastName=Schröder | Company=None | Address=Barbarossastraße 19 | City=Berlin | State=None | Country=Germany | PostalCode=10779 | Phone=+49 030 2141444 | Fax=None | Email=nschroder@surfeu.de | SupportRepId=3', 'CustomerId=39 | FirstName=Camille | LastName=Bernard | Company=None | Address=4, Rue Milton | City=Paris | State=None | Country=France | PostalCode=75009 | Phone=+33 01 49 70 65 65 | Fax=None | Email=camille.bernard@yahoo.fr | SupportRepId=4', 'CustomerId=40 | FirstName=Dominique | LastName=Lefebvre | Company=None | Address=8, Rue Hanovre | City=Paris | State=None | Country=France | PostalCode=75002 | Phone=+33 01 47 42 71 71 | Fax=None | Email=dominiquelefebvre@gmail.com | SupportRepId=4', 'CustomerId=41 | FirstName=Marc | LastName=Dubois | Company=None | Address=11, Place Bellecour | City=Lyon | State=None | Country=France | PostalCode=69002 | Phone=+33 04 78 30 30 30 | Fax=None | Email=marc.dubois@hotmail.com | SupportRepId=5', 'CustomerId=42 | FirstName=Wyatt | LastName=Girard | Company=None | Address=9, Place Louis Barthou | City=Bordeaux | State=None | Country=France | PostalCode=33000 | Phone=+33 05 56 96 96 96 | Fax=None | Email=wyatt.girard@yahoo.fr | SupportRepId=3', 'CustomerId=43 | FirstName=Isabelle | LastName=Mercier | Company=None | Address=68, Rue Jouvence | City=Dijon | State=None | Country=France | PostalCode=21000 | Phone=+33 03 80 73 66 99 | Fax=None | Email=isabelle_mercier@apple.fr | SupportRepId=3', 'CustomerId=44 | FirstName=Terhi | LastName=Hämäläinen | Company=None | Address=Porthaninkatu 9 | City=Helsinki | State=None | Country=Finland | PostalCode=00530 | Phone=+358 09 870 2000 | Fax=None | Email=terhi.hamalainen@apple.fi | SupportRepId=3', 'CustomerId=45 | FirstName=Ladislav | LastName=Kovács | Company=None | Address=Erzsébet krt. 58. | City=Budapest | State=None | Country=Hungary | PostalCode=H-1073 | Phone=None | Fax=None | Email=ladislav_kovacs@apple.hu | SupportRepId=3', ""CustomerId=46 | FirstName=Hugh | LastName=O'Reilly | Company=None | Address=3 Chatham Street | City=Dublin | State=Dublin | Country=Ireland | PostalCode=None | Phone=+353 01 6792424 | Fax=None | Email=hughoreilly@apple.ie | SupportRepId=3"", 'CustomerId=47 | FirstName=Lucas | LastName=Mancini | Company=None | Address=Via Degli Scipioni, 43 | City=Rome | State=RM | Country=Italy | PostalCode=00192 | Phone=+39 06 39733434 | Fax=None | Email=lucas.mancini@yahoo.it | SupportRepId=5', 'CustomerId=48 | FirstName=Johannes | LastName=Van der Berg | Company=None | Address=Lijnbaansgracht 120bg | City=Amsterdam | State=VV | Country=Netherlands | PostalCode=1016 | Phone=+31 020 6223130 | Fax=None | Email=johavanderberg@yahoo.nl | SupportRepId=5', 'CustomerId=49 | FirstName=Stanisław | LastName=Wójcik | Company=None | Address=Ordynacka 10 | City=Warsaw | State=None | Country=Poland | PostalCode=00-358 | Phone=+48 22 828 37 39 | Fax=None | Email=stanisław.wójcik@wp.pl | SupportRepId=4', 'CustomerId=50 | FirstName=Enrique | LastName=Muñoz | Company=None | Address=C/ San Bernardo 85 | City=Madrid | State=None | Country=Spain | PostalCode=28015 | Phone=+34 914 454 454 | Fax=None | Email=enrique_munoz@yahoo.es | SupportRepId=5', 'CustomerId=51 | FirstName=Joakim | LastName=Johansson | Company=None | Address=Celsiusg. 9 | City=Stockholm | State=None | Country=Sweden | PostalCode=11230 | Phone=+46 08-651 52 52 | Fax=None | Email=joakim.johansson@yahoo.se | SupportRepId=5', 'CustomerId=52 | FirstName=Emma | LastName=Jones | Company=None | Address=202 Hoxton Street | City=London | State=None | Country=United Kingdom | PostalCode=N1 5LH | Phone=+44 020 7707 0707 | Fax=None | Email=emma_jones@hotmail.com | SupportRepId=3', 'CustomerId=53 | FirstName=Phil | LastName=Hughes | Company=None | Address=113 Lupus St | City=London | State=None | Country=United Kingdom | PostalCode=SW1V 3EN | Phone=+44 020 7976 5722 | Fax=None | Email=phil.hughes@gmail.com | SupportRepId=3', 'CustomerId=54 | FirstName=Steve | LastName=Murray | Company=None | Address=110 Raeburn Pl | City=Edinburgh  | State=None | Country=United Kingdom | PostalCode=EH4 1HH | Phone=+44 0131 315 3300 | Fax=None | Email=steve.murray@yahoo.uk | SupportRepId=5', 'CustomerId=55 | FirstName=Mark | LastName=Taylor | Company=None | Address=421 Bourke Street | City=Sidney | State=NSW | Country=Australia | PostalCode=2010 | Phone=+61 (02) 9332 3633 | Fax=None | Email=mark.taylor@yahoo.au | SupportRepId=4', 'CustomerId=56 | FirstName=Diego | LastName=Gutiérrez | Company=None | Address=307 Macacha Güemes | City=Buenos Aires | State=None | Country=Argentina | PostalCode=1106 | Phone=+54 (0)11 4311 4333 | Fax=None | Email=diego.gutierrez@yahoo.ar | SupportRepId=4', 'CustomerId=57 | FirstName=Luis | LastName=Rojas | Company=None | Address=Calle Lira, 198 | City=Santiago | State=None | Country=Chile | PostalCode=None | Phone=+56 (0)2 635 4444 | Fax=None | Email=luisrojas@yahoo.cl | SupportRepId=5', 'CustomerId=58 | FirstName=Manoj | LastName=Pareek | Company=None | Address=12,Community Centre | City=Delhi | State=None | Country=India | PostalCode=110017 | Phone=+91 0124 39883988 | Fax=None | Email=manoj.pareek@rediff.com | SupportRepId=3', 'CustomerId=59 | FirstName=Puja | LastName=Srivastava | Company=None | Address=3,Raj Bhavan Road | City=Bangalore | State=None | Country=India | PostalCode=560001 | Phone=+91 080 22289999 | Fax=None | Email=puja_srivastava@yahoo.in | SupportRepId=3']",False
RGF0YXNldEV4YW1wbGU6MTU=,,,,EMBEDDING,{},"['EmployeeId=1 | LastName=Adams | FirstName=Andrew | Title=General Manager | ReportsTo=None | BirthDate=1962-02-18 00:00:00 | HireDate=2002-08-14 00:00:00 | Address=11120 Jasper Ave NW | City=Edmonton | State=AB | Country=Canada | PostalCode=T5K 2N1 | Phone=+1 (780) 428-9482 | Fax=+1 (780) 428-3457 | Email=andrew@chinookcorp.com', 'EmployeeId=2 | LastName=Edwards | FirstName=Nancy | Title=Sales Manager | ReportsTo=1 | BirthDate=1958-12-08 00:00:00 | HireDate=2002-05-01 00:00:00 | Address=825 8 Ave SW | City=Calgary | State=AB | Country=Canada | PostalCode=T2P 2T3 | Phone=+1 (403) 262-3443 | Fax=+1 (403) 262-3322 | Email=nancy@chinookcorp.com', 'EmployeeId=3 | LastName=Peacock | FirstName=Jane | Title=Sales Support Agent | ReportsTo=2 | BirthDate=1973-08-29 00:00:00 | HireDate=2002-04-01 00:00:00 | Address=1111 6 Ave SW | City=Calgary | State=AB | Country=Canada | PostalCode=T2P 5M5 | Phone=+1 (403) 262-3443 | Fax=+1 (403) 262-6712 | Email=jane@chinookcorp.com', 'EmployeeId=4 | LastName=Park | FirstName=Margaret | Title=Sales Support Agent | ReportsTo=2 | BirthDate=1947-09-19 00:00:00 | HireDate=2003-05-03 00:00:00 | Address=683 10 Street SW | City=Calgary | State=AB | Country=Canada | PostalCode=T2P 5G3 | Phone=+1 (403) 263-4423 | Fax=+1 (403) 263-4289 | Email=margaret@chinookcorp.com', 'EmployeeId=5 | LastName=Johnson | FirstName=Steve | Title=Sales Support Agent | ReportsTo=2 | BirthDate=1965-03-03 00:00:00 | HireDate=2003-10-17 00:00:00 | Address=7727B 41 Ave | City=Calgary | State=AB | Country=Canada | PostalCode=T3B 1Y7 | Phone=1 (780) 836-9987 | Fax=1 (780) 836-9543 | Email=steve@chinookcorp.com', 'EmployeeId=6 | LastName=Mitchell | FirstName=Michael | Title=IT Manager | ReportsTo=1 | BirthDate=1973-07-01 00:00:00 | HireDate=2003-10-17 00:00:00 | Address=5827 Bowness Road NW | City=Calgary | State=AB | Country=Canada | PostalCode=T3B 0C5 | Phone=+1 (403) 246-9887 | Fax=+1 (403) 246-9899 | Email=michael@chinookcorp.com', 'EmployeeId=7 | LastName=King | FirstName=Robert | Title=IT Staff | ReportsTo=6 | BirthDate=1970-05-29 00:00:00 | HireDate=2004-01-02 00:00:00 | Address=590 Columbia Boulevard West | City=Lethbridge | State=AB | Country=Canada | PostalCode=T1K 5N8 | Phone=+1 (403) 456-9986 | Fax=+1 (403) 456-8485 | Email=robert@chinookcorp.com', 'EmployeeId=8 | LastName=Callahan | FirstName=Laura | Title=IT Staff | ReportsTo=6 | BirthDate=1968-01-09 00:00:00 | HireDate=2004-03-04 00:00:00 | Address=923 7 ST NW | City=Lethbridge | State=AB | Country=Canada | PostalCode=T1H 1Y8 | Phone=+1 (403) 467-3351 | Fax=+1 (403) 467-8772 | Email=laura@chinookcorp.com']",False
RGF0YXNldEV4YW1wbGU6MTY=,,,,EMBEDDING,{},"['GenreId=1 | Name=Rock', 'GenreId=2 | Name=Jazz', 'GenreId=3 | Name=Metal', 'GenreId=4 | Name=Alternative & Punk', 'GenreId=5 | Name=Rock And Roll', 'GenreId=6 | Name=Blues', 'GenreId=7 | Name=Latin', 'GenreId=8 | Name=Reggae', 'GenreId=9 | Name=Pop', 'GenreId=10 | Name=Soundtrack', 'GenreId=11 | Name=Bossa Nova', 'GenreId=12 | Name=Easy Listening', 'GenreId=13 | Name=Heavy Metal', 'GenreId=14 | Name=R&B/Soul', 'GenreId=15 | Name=Electronica/Dance', 'GenreId=16 | Name=World', 'GenreId=17 | Name=Hip Hop/Rap', 'GenreId=18 | Name=Science Fiction', 'GenreId=19 | Name=TV Shows', 'GenreId=20 | Name=Sci Fi & Fantasy', 'GenreId=21 | Name=Drama', 'GenreId=22 | Name=Comedy', 'GenreId=23 | Name=Alternative', 'GenreId=24 | Name=Classical', 'GenreId=25 | Name=Opera']",False
RGF0YXNldEV4YW1wbGU6MTc=,,,,EMBEDDING,{},,
RGF0YXNldEV4YW1wbGU6MTg=,,,,EMBEDDING,{},,
RGF0YXNldEV4YW1wbGU6MTk=,,,,EMBEDDING,{},,
RGF0YXNldEV4YW1wbGU6MjA=,,,,EMBEDDING,{},"['MediaTypeId=1 | Name=MPEG audio file', 'MediaTypeId=2 | Name=Protected AAC audio file', 'MediaTypeId=3 | Name=Protected MPEG-4 video file', 'MediaTypeId=4 | Name=Purchased AAC audio file', 'MediaTypeId=5 | Name=AAC audio file']",False
RGF0YXNldEV4YW1wbGU6MjE=,,,,EMBEDDING,{},"['PlaylistId=1 | Name=Music', 'PlaylistId=2 | Name=Movies', 'PlaylistId=3 | Name=TV Shows', 'PlaylistId=4 | Name=Audiobooks', 'PlaylistId=5 | Name=90’s Music', 'PlaylistId=6 | Name=Audiobooks', 'PlaylistId=7 | Name=Movies', 'PlaylistId=8 | Name=Music', 'PlaylistId=9 | Name=Music Videos', 'PlaylistId=10 | Name=TV Shows', 'PlaylistId=11 | Name=Brazilian Music', 'PlaylistId=12 | Name=Classical', 'PlaylistId=13 | Name=Classical 101 - Deep Cuts', 'PlaylistId=14 | Name=Classical 101 - Next Steps', 'PlaylistId=15 | Name=Classical 101 - The Basics', 'PlaylistId=16 | Name=Grunge', 'PlaylistId=17 | Name=Heavy Metal Classic', 'PlaylistId=18 | Name=On-The-Go 1']",False
RGF0YXNldEV4YW1wbGU6MjI=,,,,EMBEDDING,{},,
RGF0YXNldEV4YW1wbGU6MjM=,,,,EMBEDDING,{},,
RGF0YXNldEV4YW1wbGU6MjQ=,,,,EMBEDDING,{},,
RGF0YXNldEV4YW1wbGU6MjU=,,,,EMBEDDING,{},,
RGF0YXNldEV4YW1wbGU6MjY=,,,,EMBEDDING,{},,
RGF0YXNldEV4YW1wbGU6Mjc=,,,,EMBEDDING,{},,
RGF0YXNldEV4YW1wbGU6Mjg=,,,,EMBEDDING,{},,
RGF0YXNldEV4YW1wbGU6Mjk=,,,,EMBEDDING,{},"[""Schema of table Album:\nTable 'Album' has columns: AlbumId (INTEGER), Title (NVARCHAR(160)), ArtistId (INTEGER),  and foreign keys: ['ArtistId'] -> Artist.['ArtistId'].\nContext of table Album:\nSummary of album and artist data. Table contains albums with titles and artist IDs, with AlbumId as the primary key and ArtistId referencing an artist table."", ""Schema of table Artist:\nTable 'Artist' has columns: ArtistId (INTEGER), Name (NVARCHAR(120)), .\nContext of table Artist:\nSummary of artist and their names. Table contains artist IDs and names, with ArtistId as the primary key."", ""Schema of table Customer:\nTable 'Customer' has columns: CustomerId (INTEGER), FirstName (NVARCHAR(40)), LastName (NVARCHAR(20)), Company (NVARCHAR(80)), Address (NVARCHAR(70)), City (NVARCHAR(40)), State (NVARCHAR(40)), Country (NVARCHAR(40)), PostalCode (NVARCHAR(10)), Phone (NVARCHAR(24)), Fax (NVARCHAR(24)), Email (NVARCHAR(60)), SupportRepId (INTEGER),  and foreign keys: ['SupportRepId'] -> Employee.['EmployeeId'].\nContext of table Customer:\nSummary of customer information including company, address, and contact details."", ""Schema of table Employee:\nTable 'Employee' has columns: EmployeeId (INTEGER), LastName (NVARCHAR(20)), FirstName (NVARCHAR(20)), Title (NVARCHAR(30)), ReportsTo (INTEGER), BirthDate (DATETIME), HireDate (DATETIME), Address (NVARCHAR(70)), City (NVARCHAR(40)), State (NVARCHAR(40)), Country (NVARCHAR(40)), PostalCode (NVARCHAR(10)), Phone (NVARCHAR(24)), Fax (NVARCHAR(24)), Email (NVARCHAR(60)),  and foreign keys: ['ReportsTo'] -> Employee.['EmployeeId'].\nContext of table Employee:\nSummary of employee and manager relationships. Table contains employee details, titles, and reporting relationships."", ""Schema of table Genre:\nTable 'Genre' has columns: GenreId (INTEGER), Name (NVARCHAR(120)), .\nContext of table Genre:\nSummary of music genres and their names."", ""Schema of table Invoice:\nTable 'Invoice' has columns: InvoiceId (INTEGER), CustomerId (INTEGER), InvoiceDate (DATETIME), BillingAddress (NVARCHAR(70)), BillingCity (NVARCHAR(40)), BillingState (NVARCHAR(40)), BillingCountry (NVARCHAR(40)), BillingPostalCode (NVARCHAR(10)), Total (NUMERIC(10, 2)),  and foreign keys: ['CustomerId'] -> Customer.['CustomerId'].\nContext of table Invoice:\nSummary of invoice data including customer information and billing details."", ""Schema of table InvoiceLine:\nTable 'InvoiceLine' has columns: InvoiceLineId (INTEGER), InvoiceId (INTEGER), TrackId (INTEGER), UnitPrice (NUMERIC(10, 2)), Quantity (INTEGER),  and foreign keys: ['TrackId'] -> Track.['TrackId'], ['InvoiceId'] -> Invoice.['InvoiceId'].\nContext of table InvoiceLine:\nTracks and invoice lines linked by track ID."", ""Schema of table MediaType:\nTable 'MediaType' has columns: MediaTypeId (INTEGER), Name (NVARCHAR(120)), .\nContext of table MediaType:\nInformation about media types and their names."", ""Schema of table Playlist:\nTable 'Playlist' has columns: PlaylistId (INTEGER), Name (NVARCHAR(120)), .\nContext of table Playlist:\nSummary of playlist data, including titles and IDs."", ""Schema of table PlaylistTrack:\nTable 'PlaylistTrack' has columns: PlaylistId (INTEGER), TrackId (INTEGER),  and foreign keys: ['TrackId'] -> Track.['TrackId'], ['PlaylistId'] -> Playlist.['PlaylistId'].\nContext of table PlaylistTrack:\nInformation about playlists and tracks, with PlaylistId and TrackId as primary keys referencing other tables."", ""Schema of table Track:\nTable 'Track' has columns: TrackId (INTEGER), Name (NVARCHAR(200)), AlbumId (INTEGER), MediaTypeId (INTEGER), GenreId (INTEGER), Composer (NVARCHAR(220)), Milliseconds (INTEGER), Bytes (INTEGER), UnitPrice (NUMERIC(10, 2)),  and foreign keys: ['MediaTypeId'] -> MediaType.['MediaTypeId'], ['GenreId'] -> Genre.['GenreId'], ['AlbumId'] -> Album.['AlbumId'].\nContext of table Track:\nInformation regarding a structured table. Table contains tracks with titles, album IDs, media types, genres, and composers.""]",False
